rank,feature,mean_abs_shap_value
209,Route Bos Fll,0.0005333418714261339
210,Route Mfr Slc,0.0005331396815663467
211,Route Dca Den,0.0005294894441768148
212,Route Dfw Msy,0.0005268386732558771
213,Route Lbb Dal,0.0005211949858728088
214,Route Bur Sjc,0.0005203755199516428
215,Route Dtw Ord,0.0005179183350272256
216,Route Dfw Lax,0.0005052275643238313
217,Route Sea Slc,0.0005019514212925307
218,Route Ont Sea,0.0005019085555754274
219,Route Ict Den,0.0004978156164701112
220,Route Atl Lga,0.0004945324497340848
221,Route Dfw Sjt,0.0004886352786693701
222,Route Smf Ord,0.00048729933006930827
223,Route Pvd Mdw,0.0004829788537672935
224,Route Hnl Lih,0.00047661251224644617
225,Route Bur Oak,0.00047510722639975626
226,Route Iah Sfo,0.00047361633301528007
227,Route Dfw Fll,0.0004657097353553982
228,Route Dab Atl,0.00046540679911167356
229,Route Bna Atl,0.00046256911359308613
230,Route Lax Ord,0.00045842365598204566
231,Route Fll Phx,0.0004556023698291856
232,Route Slc Gjt,0.0004537609904364484
233,Route Psc Slc,0.00045314549689620166
234,Route Cid Den,0.0004515063635600058
235,Route Mht Dca,0.00045102065664722016
236,Route Den Fsd,0.0004505688536470149
237,Route Msp Boi,0.0004498852726059275
238,Route Fat Phx,0.0004496110943254729
239,Route Chs Phl,0.0004458929602877356
240,Route Alb Ord,0.0004445415795612973
241,Route Dfw Mia,0.00044416270644039176
242,Route Grr Dfw,0.00044353273202325203
243,Route Ord Rsw,0.0004372142836298807
244,Route Bur Smf,0.00043627365799051666
245,Dest State Abr Oh,0.000435686608534352
246,Route Ord Rdu,0.0004352648742734984
247,Route Ord Pbi,0.0004347414241065087
248,Route Rsw Iad,0.0004345113686646562
249,Origin State Abr Mi,0.0004342183198835696
250,Route Rno Las,0.0004338877767543222
251,Route Pvu Aza,0.0004253742118748269
252,Route Stt Atl,0.00042337131157187206
253,Route Pns Atl,0.00042292666131316987
254,Route Tus Dfw,0.0004227031509709633
255,Route Sea Sfo,0.000421525479029923
256,Route Atl Jfk,0.0004143041450371134
257,Route Sea Iah,0.0004140719376561439
258,Route Cos Dal,0.00041394473879329354
259,Route Ord Cle,0.0004132668984522119
260,Dest State Abr Ok,0.00041196196544135725
261,Route Sfo Rno,0.0004062900398432134
262,Route Dfw Boi,0.000405245398063622
263,Route Sat Dal,0.0004051815221692071
264,Route Rdu Bna,0.00040505797006259303
265,Route Rsw Lga,0.000401477424050204
266,Route Pbi Ewr,0.0004005163256144677
267,Route Abq Mdw,0.00039978510207018173
268,Route Mia Stx,0.00039850304040617095
269,Route Las Sfo,0.0003979342109314067
270,Route Dca Mia,0.00039279933065873297
271,Route Mem Hou,0.00039279207887270133
272,Route Iah Aus,0.00039166663643803605
273,Route Hnl San,0.00039155503292478565
274,Route Den Lga,0.0003911698320524439
275,Route Las Bzn,0.0003909183889052208
276,Route Iah Lga,0.00039034804764648924
277,Route Den Rsw,0.00038974077413160454
278,Route Den Bil,0.00038845261297183075
279,Route Clt Dca,0.0003883351800651058
280,Route Srq Ord,0.0003877469810416558
281,Route Fll Lga,0.0003871274076273199
282,Route Tpa Cmh,0.00038623736965744365
283,Route Sfo Boi,0.00038602470104962883
284,Route Avp Ord,0.00038163678880496555
285,Origin State Abr Sc,0.0003811329023895561
286,Route Lax Atl,0.0003803689402174921
287,Route Hou Sjc,0.0003802493574726053
288,Origin State Abr Me,0.00037947320612788973
289,Route Phx Msp,0.00037696601568180683
290,Route Mke Ord,0.00037639490204067436
291,Route Msy Las,0.00037612789317627293
292,Route Dtw Atl,0.00037531705119036614
293,Route Sav Dfw,0.0003751022485783706
294,Route Buf Bwi,0.00037403380594997984
295,Dest State Abr Wv,0.00037102644766732123
296,Route Ewr Pbi,0.0003698722698993754
297,Route Lih Sjc,0.00036927998000353804
298,Route Sna Slc,0.0003680238402381918
299,Route Aus Hrl,0.000367406792469641
300,Route Gum Spn,0.00036634553037687866
301,Route Sba Sfo,0.0003659972776933397
302,Origin State Abr Ct,0.00036518889557461166
303,Route Sea Dfw,0.00036465133919930446
304,Route Anc Den,0.00036360261170509633
305,Route Boi Sea,0.0003625593971706975
306,Route Chs Lga,0.0003603350562580567
307,Route Sat Den,0.000360246231263225
308,Route Gri Dfw,0.000360016851256498
309,Route Cvg Dca,0.00035933862741744234
310,Route Isp Mco,0.00035826968579931554
311,Dest State Abr Nm,0.00035693954985108254
312,Route Clt Fll,0.0003566439773154893
313,Route Atl Sea,0.0003563284056625577
314,Route Pdx Lax,0.0003553709535415002
315,Route Phx Gjt,0.00035419099764398635
316,Route Sfo Bur,0.0003539272885720304
317,Route Bfl Dfw,0.0003535341674403138
318,Route San Ord,0.0003512348655677806
319,Route Den Bwi,0.00035116135157118645
320,Route Clt Bwi,0.00035044268556946824
321,Route Mem Iah,0.0003501414686807366
322,Route Slc Eug,0.0003470958471972458
323,Route Mhk Ord,0.0003467252178248712
324,Route Lax Fll,0.0003447620717431409
325,Route Elp Phx,0.0003439964622260187
326,Route Sjc San,0.0003429899909009472
327,Route Dfw Pbi,0.00034147135802033
328,Route Gsp Atl,0.00034101418443270056
329,Route Tul Stl,0.00034037562964254976
330,Route Bos Ord,0.0003377518679946311
331,Route Azo Dtw,0.0003371705218280689
332,Route Las Abq,0.0003370420252029282
333,Route Ewr Fll,0.00033700371925269706
334,Route Pbi Ord,0.00033596637866715095
335,Route Las Fat,0.00033499449204234613
336,Route Las Bur,0.0003349866651268525
337,Route Pbi Bdl,0.00033149283664487585
338,Route Lax Aus,0.0003314535334960213
339,Route Phx Fll,0.00033080399841492334
340,Route Dtw Den,0.00032842772838290743
341,Route Aus Stl,0.0003258007388859509
342,Route Ord Mco,0.0003257766814948461
343,Route Fll Ind,0.0003257379765192023
344,Route Msn Dca,0.00032525278640426066
345,Route Sfo Lax,0.00032513160369658224
346,Route Btv Dca,0.0003243267204104411
347,Route Cak Clt,0.0003231788865771298
348,Route Abq Dfw,0.00032316889238843185
349,Route Sea Bos,0.0003221983184524302
350,Route Cle Mco,0.0003209541419942735
351,Route Dtw Rdu,0.0003209400909077251
352,Route Ord Rap,0.0003207846648105435
353,Route Mem Mdw,0.0003204581145251043
354,Route Jfk Sfo,0.00032040708388991713
355,Route Jfk Tpa,0.0003192985156153519
356,Route Mco Las,0.0003187836679233578
357,Route Den Dfw,0.00031833726216355624
358,Route Den Mci,0.000315646063412307
359,Route Dfw Oma,0.00031541383837629337
360,Route Den Mry,0.00031491776929021666
361,Route Fll Dfw,0.0003145483168358187
362,Route Hnl Ito,0.00031393910677243026
363,Route Psp Sea,0.00031335602925529343
364,Route Ord Boi,0.00031298001865203334
365,Route Den Fll,0.00031253596686769963
366,Route Fat Las,0.00031220076688689784
367,Route Sjc Sna,0.0003121332550250287
368,Route Ewr Eyw,0.00031049322545418517
369,Route Fll Rdu,0.00031022616244046736
370,Route Sfo Acv,0.0003098227575299241
371,Route Cvg Ord,0.0003095400493675612
372,Route Bwi Ord,0.00030948279065926395
373,Route Slc Phx,0.0003086473002040173
374,Route Bhm Atl,0.00030812016794662324
375,Route Sju Dfw,0.0003062412571823571
376,Route Sea Jfk,0.0003052686663618536
377,Route Atl Okc,0.00030524413089756057
378,Origin State Abr Sd,0.0003037800800078373
379,Route Pns Dfw,0.0003020281519165561
380,Route Clt Mco,0.0003011485789080902
381,Route Dal Smf,0.00029684535053696654
382,Route Pns Clt,0.0002967085293758965
383,Origin State Abr Nv,0.00029663486585604376
384,Route Rdu Mia,0.0002945257509014073
385,Route Msp Mci,0.00029441486329574756
386,Route Dtw Clt,0.0002939244051906487
387,Route Mco Jfk,0.00029289058081662404
388,Route Atl Hsv,0.0002916870553136144
389,Route Roc Dca,0.00029122075222505337
390,Route Iah Dfw,0.0002894912490610362
391,Route Sea Rdm,0.00028850828220629033
392,Route Mco Bhm,0.00028672272098441626
393,Route Cha Dfw,0.0002859073117028242
394,Route Geg San,0.00028538860451239107
395,Route Ord Gso,0.0002846629488939614
396,Route Den Syr,0.000284522875198168
397,Route Sea Fai,0.00028388681196614386
398,Route Rno Sfo,0.0002838311546822868
399,Origin State Abr Ne,0.00028364336738159095
400,Route Dro Dfw,0.00028334295529903526
401,Route Den Lit,0.0002828064914118188
402,Route Dfw Elp,0.00028254951182223346
403,Route Phl Msy,0.0002819773954060467
404,Route Pdx Sea,0.0002791992755168583
405,Route Aus Hou,0.0002788792520809337
406,Route Lga Ord,0.00027811240197338157
407,Route Dfw Smf,0.0002770536037483421
408,Route Dfw Jfk,0.0002764568778711147
409,Route Sjc Sea,0.0002761040098471309
410,Route Atl Fll,0.00027443907631146856
411,Route Bna Ord,0.0002741124902609106
412,Route Las Mdw,0.0002726682147570664
413,Route Ord Crw,0.00027181703996207807
414,Route Msp Fwa,0.00027176674551837815
415,Route Las Den,0.0002698327302607084
416,Route Lax Mco,0.00026949203314690994
417,Route Atl Mco,0.0002692509491983015
418,Route Aus Dfw,0.0002687760782884849
419,Route Pdx Sjc,0.0002687331024346469
420,Route Iah Tpa,0.0002684654565221634
421,Route Hnl Sfo,0.00026822606592327204
422,Route Fwa Dfw,0.00026754675500039235
423,Route Lih Lax,0.0002664131598976546
424,Route Aus Rdu,0.0002661369950536156
425,Dest State Abr Al,0.000265799393208273
426,Route Ewr Mco,0.00026486716159803135
427,Dest State Abr Tt,0.00026399264991070474
428,Route Pdx Hnl,0.00026385834713668437
429,Route Den Tys,0.0002634378506264481
430,Route Sat Bna,0.00026276198754947695
431,Route Phx Psp,0.00026274218948644194
432,Route Rdu Aus,0.00026091506263828694
433,Origin State Abr Ri,0.00025994364580652854
434,Route Atl Ord,0.0002597703925791988
435,Route Msp Grr,0.00025961022277768493
436,Route Dfw Tus,0.00025804575886670704
437,Route Dca Dtw,0.0002572692427776604
438,Route Tpa Sju,0.0002570659891331151
439,Route Pit Lga,0.00025668049554619947
440,Route Mco Pvd,0.0002563000392426566
441,Route Bdl Dca,0.0002546752880523237
442,Route Las Cos,0.00025306311234561126
443,Route Iah Iad,0.00025303195101802396
444,Route Bna Mke,0.00025211441454706617
445,Route Phx Sbp,0.0002518851744214415
446,Route Msy Bos,0.00025143506306616085
447,Route Msp Ewr,0.00025043186393973617
448,Route Fll Bqn,0.0002497664650363001
449,Route Phx Dtw,0.0002492885324618358
450,Route Fll Bwi,0.0002492235462835066
451,Route Msp Ind,0.00024817077765362187
452,Route Fll Alb,0.00024771775748103975
453,Route Cvg Phl,0.00024729811849750387
454,Route Dtw Ewr,0.00024209056254989068
455,Route Phl Atl,0.00024113094573909247
456,Route Sea Mia,0.00023920634301182164
457,Route Lgb Smf,0.00023876291267573994
458,Route Sfo Phl,0.00023792966931598128
459,Origin State Abr Ks,0.00023523661316325633
460,Route Rno Den,0.0002352151076994888
461,Route Mco Lax,0.00023485038864970426
462,Route Lga Mia,0.000234560732652723
463,Route Den Mia,0.0002313863225669964
464,Route Dca Las,0.00023086487133760166
465,Route Mco Iah,0.00023037403063559114
466,Route Bwi Dtw,0.00022922415576544786
467,Route Dal Hou,0.0002288426638226066
468,Route Fll Lax,0.00022759858478673854
469,Route Phx Tul,0.00022715587306552427
470,Route Jfk Msy,0.0002255752638378496
471,Route Chs Bos,0.00022517555396202326
472,Route Mdw Aus,0.0002251577546410501
473,Route Sfo Sna,0.00022268530938053782
474,Route Slc Smf,0.00022220004201410057
475,Route Atl Buf,0.0002216422434951535
476,Route Dca Pns,0.00022163421412833443
477,Route Jax Lga,0.00022134284728726975
478,Route Sbp San,0.00022108771709160226
479,Route Iah Fll,0.00021951064057064258
480,Route Gso Ord,0.00021893282002404912
481,Route Phx Dfw,0.00021848126290368694
482,Route Ric Mco,0.0002182957650629175
483,Route Sfo San,0.00021797595352814576
484,Route Bzn Lax,0.00021762894554827557
485,Route Mco Bos,0.000217562830201531
486,Route Aex Dfw,0.00021673100215752666
487,Route Phl Dtw,0.00021663663578314386
488,Route Fll Phl,0.00021500194161196175
489,Route Dtw Ric,0.00021295032979747248
490,Route Psp Ord,0.00021278601710143276
491,Route Sju Mia,0.0002120980028131116
492,Route Den Las,0.00021207598288999275
493,Route Slc San,0.00021113329023334575
494,Route Cae Ord,0.00021095268987923136
495,Route Hou San,0.0002108733568508663
496,Route Dfw Mfe,0.00021076535356111777
497,Origin State Abr Mo,0.00021050062347459158
498,Route Den Sea,0.00020949988560939943
499,Route San Rno,0.000209422325343513
500,Route Atl Tpa,0.000209124873438057
501,Route Lgb Phx,0.00020834210763344163
